From Location,To Location,Route Type,Bus Type,Distance (km),Stops,Terrain,Fuel Efficiency (km/l),Emissions (g CO2/km),Operational Cost (USD/km),Avg Speed (km/h)
North Park,Central Station,Urban,Electric,10,15,Flat,,0,0.1,35
South Valley,North Park,Suburban,Diesel,30,12,Hilly,6.2,140,0.14,50
North Park,Central Station,Urban,Electric,10,15,Flat,,0,0.1,35
South Valley,North Park,Suburban,Diesel,30,12,Hilly,6.2,140,0.14,50
West End,South Valley,Rural,CNG,60,8,Flat,5.1,125,0.11,60
East Side,West End,Intercity,Diesel,120,6,Mixed,6.0,160,0.19,90
Central Station,East Side,Urban,Hybrid,18,18,Flat,4.5,85,0.13,40
North Park,West End,Suburban,Electric,22,10,Hilly,,0,0.09,55
South Valley,East Side,Rural,Diesel,40,5,Flat,5.8,145,0.12,65
West End,Central Station,Intercity,Electric,110,4,Hilly,,0,0.11,85
East Side,North Park,Urban,Hybrid,15,20,Flat,4.1,90,0.14,30
Central Station,South Valley,Suburban,CNG,35,14,Mixed,4.9,130,0.13,48
North Park,East Side,Rural,Diesel,70,7,Hilly,5.3,150,0.15,70
South Valley,West End,Intercity,Diesel,150,8,Flat,6.1,155,0.17,95
West End,North Park,Urban,Electric,12,22,Flat,,0,0.1,34
East Side,Central Station,Suburban,CNG,25,11,Mixed,4.6,135,0.12,52
Central Station,North Park,Rural,Hybrid,45,6,Hilly,4.2,95,0.13,68
North Park,Central Station,Intercity,Diesel,130,5,Mixed,5.9,170,0.18,88
South Valley,South Valley,Urban,Electric,16,16,Flat,,0,0.11,32
West End,North Park,Suburban,Diesel,28,9,Hilly,5.7,142,0.15,54
East Side,East Side,Rural,CNG,50,7,Mixed,4.8,120,0.13,64
Central Station,West End,Intercity,Electric,140,5,Flat,,0,0.09,92
